valueDateTimeOffset,settlementPeriod,transmissionSystemDemand,nationalDemand,B1_indicatedGeneration,B10_indicatedGeneration,B11_indicatedGeneration,B12_indicatedGeneration,B13_indicatedGeneration,B14_indicatedGeneration,B15_indicatedGeneration,B16_indicatedGeneration,B17_indicatedGeneration,B2_indicatedGeneration,B3_indicatedGeneration,B4_indicatedGeneration,B5_indicatedGeneration,B6_indicatedGeneration,B7_indicatedGeneration,B8_indicatedGeneration,B9_indicatedGeneration,B1_indicatedDemand,B10_indicatedDemand,B11_indicatedDemand,B12_indicatedDemand,B13_indicatedDemand,B14_indicatedDemand,B15_indicatedDemand,B16_indicatedDemand,B17_indicatedDemand,B2_indicatedDemand,B3_indicatedDemand,B4_indicatedDemand,B5_indicatedDemand,B6_indicatedDemand,B7_indicatedDemand,B8_indicatedDemand,B9_indicatedDemand,B1_indicatedMargin,B10_indicatedMargin,B11_indicatedMargin,B12_indicatedMargin,B13_indicatedMargin,B14_indicatedMargin,B15_indicatedMargin,B16_indicatedMargin,B17_indicatedMargin,B2_indicatedMargin,B3_indicatedMargin,B4_indicatedMargin,B5_indicatedMargin,B6_indicatedMargin,B7_indicatedMargin,B8_indicatedMargin,B9_indicatedMargin,B1_indicatedImbalance,B10_indicatedImbalance,B11_indicatedImbalance,B12_indicatedImbalance,B13_indicatedImbalance,B14_indicatedImbalance,B15_indicatedImbalance,B16_indicatedImbalance,B17_indicatedImbalance,B2_indicatedImbalance,B3_indicatedImbalance,B4_indicatedImbalance,B5_indicatedImbalance,B6_indicatedImbalance,B7_indicatedImbalance,B8_indicatedImbalance,B9_indicatedImbalance,imbalancePrice,lossOfLoadProbability,deratedMargin
2025-10-01 23:00:00+00:00,1,23145,21500,2116,1057,16221,1094,0,438,1652,16681,0,3550,142,4738,4818,8828,10616,17548,18007,-66,-1147,-2180,-2113,-482,-1663,-615,-2935,-1015,-152,-96,-255,-404,-820,-1270,-3606,-5376,-3404,6579,-8477,8011,2274,5263,10771,-6523,2453,-4289,-142,-5180,-3800,-8988,-6213,-11676,-11957,1918,-1715,10919,-3614,-1100,-3126,492,10355,-2772,3132,120,4100,3740,6584,7294,9540,6185,63.07,0.0,22392.812
2025-10-01 23:30:00+00:00,2,22872,21119,2097,1057,15888,1096,0,438,1652,16335,0,3515,141,4715,4793,8763,10547,17188,17635,-65,-1112,-2093,-2077,-470,-1567,-593,-2845,-993,-155,-95,-257,-397,-787,-1218,-3579,-5325,-3407,6627,-8577,8094,2293,5325,10784,-6631,2501,-4296,-142,-5191,-3819,-9027,-6275,-11714,-12052,1902,-1667,10678,-3530,-1081,-3064,505,10107,-2724,3104,119,4088,3734,6558,7283,9210,5898,59.84,0.0,23718.607
2025-10-02 00:00:00+00:00,3,22991,20750,2084,1054,15809,1092,0,438,1658,16236,0,3475,144,4687,4765,8701,10483,17072,17498,-66,-1130,-2134,-2124,-468,-1533,-670,-2882,-983,-201,-96,-304,-442,-823,-1251,-4075,-5806,-3411,6669,-8664,8167,2312,5384,10760,-6732,2548,-4303,-143,-5202,-3837,-9064,-6330,-11397,-11796,1893,-1624,10688,-3456,-1062,-3004,482,10108,-2678,3071,123,4071,3724,6534,7274,8778,5502,92.5,0.0,23937.387
2025-10-02 00:30:00+00:00,4,22758,20650,2053,1054,15653,1090,0,438,1655,16036,0,3392,139,4606,4684,8585,10367,16869,17252,-65,-1161,-2185,-2141,-468,-1560,-669,-2932,-1022,-248,-95,-380,-514,-885,-1308,-3984,-5754,-3412,6681,-8688,8187,2317,5401,10764,-6759,2560,-4305,-143,-5205,-3842,-9075,-6345,-11567,-11980,1863,-1611,10556,-3436,-1058,-2988,482,9933,-2665,2990,118,3993,3648,6428,7173,8744,5440,91.0,0.0,24505.219
2025-10-02 01:00:00+00:00,5,22104,19986,2013,1093,15398,1128,0,438,1810,15757,0,3308,138,4523,4598,8432,10153,16571,16930,-65,-1195,-2249,-2244,-505,-1491,-742,-2946,-1053,-225,-95,-362,-509,-906,-1323,-4172,-5923,-3418,6814,-8911,8381,2351,5508,10944,-7056,2644,-4318,-144,-5224,-3874,-9142,-6506,-11797,-12369,1829,-1488,10461,-3256,-1024,-2881,659,9888,-2581,2919,118,3929,3594,6342,7060,8615,5444,68.22,0.0,24452.803
2025-10-02 01:30:00+00:00,6,21933,19754,1951,1092,15185,1128,0,438,1809,15518,0,3214,135,4426,4500,8276,9995,16304,16638,-64,-1169,-2394,-2234,-484,-1526,-758,-3085,-1100,-355,-94,-488,-632,-1067,-1478,-4405,-6196,-3420,6849,-9002,8438,2365,5546,10952,-7154,2673,-4322,-144,-5231,-3886,-9166,-6541,-11872,-12481,1769,-1460,10304,-3206,-1013,-2843,666,9709,-2552,2829,115,3839,3508,6210,6937,8372,5209,71.48277551112587,0.0,25057.592
2025-10-02 02:00:00+00:00,7,21489,19359,1903,1119,15074,1158,0,438,2081,15361,0,3135,129,4346,4418,8157,9934,16123,16410,-64,-1089,-1994,-2011,-456,-1484,-643,-2777,-956,-148,-94,-248,-379,-742,-1149,-3814,-5552,-3423,6910,-9093,8517,2386,5610,11317,-7154,2720,-4331,-144,-5243,-3925,-9226,-6560,-12086,-12651,1724,-1383,10288,-3092,-993,-2779,1030,9552,-2502,2758,109,3770,3445,6131,6935,8406,5152,56.89037284123686,0.0,25251.523
2025-10-02 02:30:00+00:00,8,21332,19292,1872,1119,14902,1160,0,438,2081,15163,0,3045,124,4247,4318,8048,9823,15870,16132,-64,-1079,-2072,-2006,-452,-1491,-671,-2854,-949,-142,-94,-242,-375,-791,-1213,-3809,-5540,-3424,6918,-9110,8531,2389,5621,11319,-7176,2728,-4332,-144,-5245,-3928,-9233,-6570,-12201,-12780,1694,-1375,10132,-3075,-990,-2768,1032,9371,-2494,2669,104,3673,3348,6029,6834,8267,4998,57.2981662037444,0.0,25176.074
2025-10-02 03:00:00+00:00,9,21474,19233,1845,1089,14753,1129,1,438,1693,14993,0,2958,121,4152,4221,7926,9740,15634,15873,-63,-1081,-2002,-1977,-454,-1482,-578,-3118,-953,-140,-93,-240,-373,-745,-1153,-3540,-5609,-3424,6899,-9090,8525,2392,5630,10898,-6839,2736,-4333,-144,-5247,-3931,-9239,-6545,-12360,-12629,1667,-1397,9997,-3094,-986,-2759,608,8883,-2486,2583,101,3580,3254,5913,6760,8224,4606,93.45,0.0,25009.256
2025-10-02 03:30:00+00:00,10,21455,19200,1800,1087,14574,1273,1,438,1810,14795,0,2880,122,4066,4134,7808,9620,15403,15625,-64,-1098,-2037,-2006,-460,-1529,-598,-3156,-969,-143,-94,-243,-380,-763,-1175,-3594,-5681,-3425,6903,-9100,8606,2394,5636,10919,-6862,2740,-4334,-144,-5248,-3933,-9243,-6550,-12358,-12644,1623,-1395,9826,-2943,-984,-2753,726,8693,-2482,2506,102,3495,3169,5799,6645,7991,4361,91.0,0.0,24881.31
2025-10-02 04:00:00+00:00,11,23341,19757,2001,1113,14835,2066,1,438,1946,15291,0,3040,158,4258,4324,7928,9738,15678,16133,-67,-1147,-2123,-2085,-476,-1640,-2164,-3244,-1008,-148,-97,-252,-397,-804,-1231,-3475,-5604,-3371,6853,-9006,8862,2390,5545,9002,-6807,2694,-4274,-144,-5183,-3876,-9207,-6488,-12478,-12756,1819,-1439,9953,-2269,-1012,-2844,-727,9046,-2552,2655,138,3671,3331,5862,6679,8304,4828,91.0,0.0,23836.07
2025-10-02 04:30:00+00:00,12,23740,20156,1953,1190,15088,2837,1,438,2512,15901,0,2957,155,4164,4229,7749,9557,16108,16921,-81,-1217,-2288,-2209,-503,-1783,-2198,-3415,-1069,-167,-101,-276,-446,-885,-1341,-3705,-5901,-3367,6803,-8910,8809,2370,5481,8993,-6722,2644,-4267,-143,-5171,-3857,-9166,-6428,-12332,-12572,1767,-1413,10110,-1583,-1032,-2908,-174,9553,-2603,2565,134,3565,3217,5642,6438,8589,5413,91.0,0.0,23957.668
