nationalGridBmUnit,bmUnitType
ABERU-1,E
ABRBO-1,T
ABRTW-1,E
ACHLW-1,S
ACHRW-1,T
ACHYW-1,
AFTOW-1,T
AG-ADL00B,V
AG-ADL01M,V
AG-ADL02G,V
AG-ADL03E,V
AG-ADL04H,V
AG-ADL05H,V
AG-AECO01,S
AG-AEDF01,S
AG-AEDF02,S
AG-AEDF03,S
AG-AEDF04,S
AG-AFLX01,S
AG-AFLX02,S
AG-AFLX03,S
AG-AFLX04,S
AG-AFLX05,S
AG-AHAR01,S
AG-ALIM01,G
AG-ALIM02,S
AG-ALIM03,S
AG-ALIM04,S
AG-AOCT01,S
AG-ASTK01,S
AG-ASTK02,S
AG-ASTK03,S
AG-ASTK04,S
AG-ASTK05,S
AG-ASTK06,S
AG-ASTK07,S
AG-ASTK08,S
AG-ASTK09,S
AG-ASTK99,S
AG-AUKP01,S
AG-AXL00K,V
AG-BEDF01,S
AG-BEDF02,S
AG-BEDF03,S
AG-BEDF04,S
AG-BEDG01,S
AG-BFLX01,S
AG-BFLX02,S
AG-BFLX03,S
AG-BFLX04,S
AG-BHAR01,S
AG-BLIM01,G
AG-BLIM02,S
AG-BLIM03,S
AG-BLIM04,S
AG-BOCT01,S
AG-BSMA01,S
AG-BSMA02,S
AG-BSTK01,S
AG-BSTK02,S
AG-BSTK03,S
AG-BSTK04,S
AG-BSTK99,S
AG-BUKP01,S
AG-CBS02L,V
AG-CBS05L,V
AG-CBS06B,V
AG-CBS07B,V
AG-CBS08M,V
AG-COCT00,S
AG-CPAD01,S
AG-DEDF01,S
AG-DEDF02,S
AG-DLIM01,S
AG-DSK01H,V
AG-DSMA01,S
AG-DSMA02,S
AG-DSTK01,S
AG-DSTK02,S
AG-DSTK03,S
AG-DSTK04,S
AG-DSTK05,S
AG-DSTK06,S
AG-DSTK07,S
AG-DSTK99,S
AG-DUKP01,S
AG-EDF01C,V
AG-EEDF01,S
AG-EFLX01,S
AG-EFLX02,S
AG-EFLX03,S
AG-EFLX04,S
AG-ELIM01,G
AG-ELIM02,S
AG-ELIM03,S
AG-ENX00A,V
AG-EOCT01,S
AG-ERV01M,V
AG-ESMA01,S
AG-ESTK01,S
AG-ESTK02,S
AG-ESTK03,S
AG-ESTK04,S
AG-ESTK05,S
AG-ESTK99,S
AG-EUKP01,S
AG-EXE00E,V
AG-FEDF01,S
AG-FEDF02,S
AG-FFLX01,S
AG-FLIM01,S
AG-FLIM02,S
AG-FLX00L,V
AG-FLX01P,V
AG-FLX02N,V
AG-FLX03H,V
AG-FLX04A,V
AG-FLX04E,V
AG-FLX06M,V
AG-FLX07N,V
AG-FLX09A,V
AG-FLX0AA,V
AG-FLX0BH,V
AG-FLX0CN,V
AG-FOR01G,V
AG-FOR01N,V
AG-FSTK01,S
AG-FSTK02,S
AG-FSTK03,S
AG-FSTK99,S
AG-GBL01B,V
AG-GBL02E,V
AG-GBL03F,V
