valueDateTimeOffset,premium,volatility_index,rate_differential,trading_volume,currency_a_strength,currency_b_strength,economic_trend,session_asian,session_european,session_us,high_volatility,is_weekend
2024-01-01 00:00:00+00:00,1.1195,22.48,2.5,981,99.98,108.04,-0.0074,0,0,0,0,0
2024-01-01 01:00:00+00:00,1.1674,19.31,2.5133,906,100.36,108.03,-0.0067,1,0,0,0,0
2024-01-01 02:00:00+00:00,1.2014,23.24,2.5366,1038,100.72,108.03,-0.0064,1,0,0,0,0
2024-01-01 03:00:00+00:00,1.3034,27.62,2.5398,1293,101.16,107.92,-0.0023,1,0,0,1,0
2024-01-01 04:00:00+00:00,1.3404,18.83,2.5135,1479,101.47,107.78,-0.0065,1,0,0,0,0
2024-01-01 05:00:00+00:00,1.3725,18.83,2.5214,1208,101.8,107.68,-0.0152,1,0,0,0,0
2024-01-01 06:00:00+00:00,1.4148,27.9,2.5081,1450,102.22,107.55,-0.0145,1,0,0,1,0
2024-01-01 07:00:00+00:00,1.427,23.84,2.4975,1430,102.56,107.44,-0.0131,1,0,0,1,0
2024-01-01 08:00:00+00:00,1.4339,17.65,2.5092,1572,102.96,107.28,-0.0056,1,0,0,0,0
2024-01-01 09:00:00+00:00,1.4538,22.71,2.5339,1315,103.4,107.11,-0.012,1,0,0,0,0
2024-01-01 10:00:00+00:00,1.412,17.68,2.534,1288,103.73,106.82,-0.0062,0,1,0,0,0
2024-01-01 11:00:00+00:00,1.3629,17.67,2.5398,1144,104.11,106.7,0.0057,0,1,0,0,0
2024-01-01 12:00:00+00:00,1.3428,21.21,2.5735,787,104.39,106.45,0.0038,0,1,0,0,0
2024-01-01 13:00:00+00:00,1.2726,10.43,2.5776,947,104.76,106.23,-0.0027,0,1,0,0,0
2024-01-01 14:00:00+00:00,1.1928,11.38,2.6288,772,105.1,105.92,-0.0047,0,1,0,0,0
2024-01-01 15:00:00+00:00,1.1543,17.19,2.6388,697,105.45,105.65,-0.0047,0,1,0,0,0
2024-01-01 16:00:00+00:00,1.0799,14.94,2.6022,960,105.73,105.28,-0.0018,0,1,0,0,0
2024-01-01 17:00:00+00:00,1.0521,21.57,2.6163,309,105.95,104.98,-0.0048,0,0,1,0,0
2024-01-01 18:00:00+00:00,1.0442,15.46,2.6227,672,106.27,104.63,0.003,0,0,1,0,0
2024-01-01 19:00:00+00:00,1.0022,12.94,2.6473,488,106.46,104.29,-0.0026,0,0,1,0,0
2024-01-01 20:00:00+00:00,1.0444,27.33,2.6593,596,106.72,103.97,-0.0113,0,0,1,1,0
2024-01-01 21:00:00+00:00,1.0832,18.87,2.6549,642,107.03,103.54,-0.0058,0,0,1,0,0
2024-01-01 22:00:00+00:00,1.0756,20.34,2.6289,708,107.3,103.13,-0.0171,0,0,1,0,0
2024-01-01 23:00:00+00:00,1.0927,12.88,2.6234,814,107.65,102.76,-0.0181,0,0,1,0,0
2024-01-02 00:00:00+00:00,1.1745,17.28,2.6052,1033,107.94,102.47,-0.0026,0,0,0,0,0
2024-01-02 01:00:00+00:00,1.2467,20.55,2.5925,978,108.13,102.06,-0.0026,1,0,0,0,0
